time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:06:36.331163,5,1606410396,330807924,,-0.757113337517,-0.50514292717
2020/11/26/18:06:36.376402,6,1606410396,376126050,,-0.752001166344,-0.35972353816
2020/11/26/18:06:36.419925,7,1606410396,419528007,,-0.763247966766,-0.275501042604
2020/11/26/18:06:36.464030,8,1606410396,463710069,,-0.760180652142,-0.194063186646
2020/11/26/18:06:36.509251,9,1606410396,508960008,,-0.755068480968,-0.121604949236
2020/11/26/18:06:36.555287,10,1606410396,554855108,,-0.754046022892,-0.0711511224508
2020/11/26/18:06:36.599609,11,1606410396,599236011,,-0.757113337517,-0.0508692525327
2020/11/26/18:06:36.643552,12,1606410396,643307924,,-0.754046022892,-0.0280889384449
2020/11/26/18:06:36.695020,13,1606410396,694740056,,-0.748933851719,-0.00364987296052
2020/11/26/18:06:36.732942,14,1606410396,732717037,,-0.75609087944,-0.0110892616212
2020/11/26/18:06:36.780717,15,1606410396,780349969,,-0.749956309795,0.0023833878804
2020/11/26/18:06:36.820194,16,1606410396,819808006,,-0.745866537094,0.0162208937109
2020/11/26/18:06:36.864135,17,1606410396,863699913,,-0.739731967449,0.032727651298
2020/11/26/18:06:36.909959,18,1606410396,909707069,,-0.746888995171,0.01659094356
2020/11/26/18:06:36.956116,19,1606410396,955846071,,-0.738709509373,0.027255024761
2020/11/26/18:06:36.997169,20,1606410396,996859073,,-0.739731967449,0.0242210607976
2020/11/26/18:06:37.042388,21,1606410397,42026996,,-0.737687051296,0.0239962358028
2020/11/26/18:06:37.084726,22,1606410397,84382057,,-0.735642194748,0.0247677303851
2020/11/26/18:06:37.128930,23,1606410397,128604888,,-0.732574880123,0.028155265376
2020/11/26/18:06:37.172822,24,1606410397,172503948,,-0.72746270895,0.0366525389254
2020/11/26/18:06:37.217965,25,1606410397,217634916,,-0.728485167027,0.0311192851514
2020/11/26/18:06:37.262717,26,1606410397,262454032,,-0.722350537777,0.0384529568255
2020/11/26/18:06:37.306896,27,1606410397,306629896,,-0.722350537777,0.0347908511758
2020/11/26/18:06:37.350440,28,1606410397,350111961,,-0.715193510056,0.0444718152285
2020/11/26/18:06:37.395231,29,1606410397,395020008,,-0.711103737354,0.050168029964
2020/11/26/18:06:37.440607,30,1606410397,440340042,,-0.715193510056,0.0345114395022
2020/11/26/18:06:37.494080,31,1606410397,493864059,,-0.708036422729,0.0400433391333
2020/11/26/18:06:37.527580,32,1606410397,527281045,,-0.700879395008,0.0521543771029
2020/11/26/18:06:37.570356,33,1606410397,570069074,,-0.694744765759,0.062338732183
2020/11/26/18:06:37.621507,34,1606410397,621195077,,-0.699856936932,0.0441674180329
2020/11/26/18:06:37.658546,35,1606410397,658056020,,-0.690655052662,0.0519323721528
2020/11/26/18:06:37.702787,36,1606410397,702296972,,-0.686565279961,0.0558058395982
2020/11/26/18:06:37.751898,37,1606410397,751594066,,-0.684520423412,0.052612118423
2020/11/26/18:06:37.792073,38,1606410397,791779994,,-0.68349802494,0.0453143529594
2020/11/26/18:06:37.835431,39,1606410397,835155010,,-0.676340937614,0.0520752929151
2020/11/26/18:06:37.880426,40,1606410397,880122900,,-0.676340937614,0.0458327457309
2020/11/26/18:06:37.924950,41,1606410397,924665927,,-0.670206308365,0.0504735037684
2020/11/26/18:06:37.968164,42,1606410397,967816114,,-0.661004424095,0.0653458312154
2020/11/26/18:06:38.013607,43,1606410398,13324022,,-0.662026882172,0.0576318353415
2020/11/26/18:06:38.056386,44,1606410398,56092977,,-0.661004424095,0.0479631908238
2020/11/26/18:06:38.108659,45,1606410398,108378887,,-0.656914651394,0.0462065152824
2020/11/26/18:06:38.145053,46,1606410398,144560098,,-0.646690309048,0.0618516206741
2020/11/26/18:06:38.188927,47,1606410398,188690900,,-0.640555739403,0.0716164410114
2020/11/26/18:06:38.234460,48,1606410398,234122991,,-0.640555739403,0.0635154917836
2020/11/26/18:06:38.278044,49,1606410398,277766942,,-0.632376253605,0.0692745447159
2020/11/26/18:06:38.322664,50,1606410398,322343111,,-0.62930893898,0.0669690668583
2020/11/26/18:06:38.365923,51,1606410398,365647077,,-0.625219166279,0.0648910701275
2020/11/26/18:06:38.414328,52,1606410398,413979053,,-0.621129453182,0.0630389302969
2020/11/26/18:06:38.454694,53,1606410398,454430103,,-0.613972425461,0.0687052756548
2020/11/26/18:06:38.499710,54,1606410398,499409914,,-0.60374802351,0.0832947194576
2020/11/26/18:06:38.544475,55,1606410398,544217109,,-0.60374802351,0.0747962296009
2020/11/26/18:06:38.588356,56,1606410398,587908029,,-0.599658310413,0.0691149458289
2020/11/26/18:06:38.633118,57,1606410398,632843971,,-0.600680708885,0.0536422692239
2020/11/26/18:06:38.676472,58,1606410398,676208019,,-0.586366653442,0.072687394917
2020/11/26/18:06:38.720544,59,1606410398,720176935,,-0.582276880741,0.0768428966403
2020/11/26/18:06:38.764549,60,1606410398,764239072,,-0.573074996471,0.0872190818191
2020/11/26/18:06:38.809557,61,1606410398,809248924,,-0.576142311096,0.0695772171021
2020/11/26/18:06:38.853669,62,1606410398,853260040,,-0.574097394943,0.0567631311715
2020/11/26/18:06:38.896826,63,1606410398,896570920,,-0.57511985302,0.0407212264836
2020/11/26/18:06:38.942700,64,1606410398,942399978,,-0.56898522377,0.0426449552178
2020/11/26/18:06:38.993987,65,1606410398,993702888,,-0.564895510674,0.0459273606539
2020/11/26/18:06:39.029562,66,1606410399,29298067,,-0.563873052597,0.0419871620834
2020/11/26/18:06:39.074211,67,1606410399,73844909,,-0.557738482952,0.0479877665639
2020/11/26/18:06:39.119170,68,1606410399,118927955,,-0.552626252174,0.0541322939098
2020/11/26/18:06:39.163301,69,1606410399,162993907,,-0.547514081001,0.0594014786184
2020/11/26/18:06:39.206524,70,1606410399,206212043,,-0.544446766376,0.05877558887
2020/11/26/18:06:39.250898,71,1606410399,250545024,,-0.547514081001,0.0418073572218
2020/11/26/18:06:39.295346,72,1606410399,294198989,,-0.542401909828,0.040987405926
2020/11/26/18:06:39.338978,73,1606410399,338677883,,-0.538312196732,0.0435619316995
2020/11/26/18:06:39.383529,74,1606410399,383258104,,-0.535244882107,0.0445659421384
2020/11/26/18:06:39.427760,75,1606410399,427453041,,-0.535244882107,0.0377051867545
2020/11/26/18:06:39.471446,76,1606410399,471035957,,-0.533200025558,0.033879481256
2020/11/26/18:06:39.516132,77,1606410399,515800952,,-0.53422242403,0.0246997438371
2020/11/26/18:06:39.559947,78,1606410399,559667110,,-0.526042938232,0.0364473201334
2020/11/26/18:06:39.603160,79,1606410399,602863073,,-0.521953225136,0.0442513786256
2020/11/26/18:06:39.648826,80,1606410399,648425102,,-0.525020539761,0.0324911028147
