time,.data
2020/11/26/18:06:36.222751,1.0
2020/11/26/18:06:36.244785,1.0
2020/11/26/18:06:36.262814,1.0
2020/11/26/18:06:36.282557,1.0
2020/11/26/18:06:36.302750,1.0
2020/11/26/18:06:36.322718,1.0
2020/11/26/18:06:36.342689,1.0
2020/11/26/18:06:36.362753,1.0
2020/11/26/18:06:36.382518,1.0
2020/11/26/18:06:36.402681,1.0
2020/11/26/18:06:36.422512,1.0
2020/11/26/18:06:36.442831,1.0
2020/11/26/18:06:36.462686,1.0
2020/11/26/18:06:36.482791,1.0
2020/11/26/18:06:36.502661,1.0
2020/11/26/18:06:36.522527,1.0
2020/11/26/18:06:36.542840,1.0
2020/11/26/18:06:36.562431,1.0
2020/11/26/18:06:36.582772,1.0
2020/11/26/18:06:36.602805,1.0
2020/11/26/18:06:36.622538,1.0
2020/11/26/18:06:36.642703,1.0
2020/11/26/18:06:36.662924,1.0
2020/11/26/18:06:36.682876,1.0
2020/11/26/18:06:36.702747,1.0
2020/11/26/18:06:36.722685,1.0
2020/11/26/18:06:36.742639,1.0
2020/11/26/18:06:36.762598,1.0
2020/11/26/18:06:36.782621,1.0
2020/11/26/18:06:36.802660,1.0
2020/11/26/18:06:36.822603,1.0
2020/11/26/18:06:36.842681,1.0
2020/11/26/18:06:36.862649,1.0
2020/11/26/18:06:36.882790,1.0
2020/11/26/18:06:36.902672,1.0
2020/11/26/18:06:36.922722,1.0
2020/11/26/18:06:36.942553,1.0
2020/11/26/18:06:36.962631,1.0
2020/11/26/18:06:36.982638,1.0
2020/11/26/18:06:37.002869,1.0
2020/11/26/18:06:37.022646,1.0
2020/11/26/18:06:37.042921,1.0
2020/11/26/18:06:37.062632,1.0
2020/11/26/18:06:37.082546,1.0
2020/11/26/18:06:37.102646,1.0
2020/11/26/18:06:37.122661,1.0
2020/11/26/18:06:37.142683,1.0
2020/11/26/18:06:37.162549,1.0
2020/11/26/18:06:37.182566,1.0
2020/11/26/18:06:37.202774,1.0
2020/11/26/18:06:37.222642,1.0
2020/11/26/18:06:37.242631,1.0
2020/11/26/18:06:37.262874,1.0
2020/11/26/18:06:37.282611,1.0
2020/11/26/18:06:37.302795,1.0
2020/11/26/18:06:37.322589,1.0
2020/11/26/18:06:37.342540,1.0
2020/11/26/18:06:37.362535,1.0
2020/11/26/18:06:37.382659,1.0
2020/11/26/18:06:37.402683,1.0
2020/11/26/18:06:37.422762,1.0
2020/11/26/18:06:37.442616,1.0
2020/11/26/18:06:37.462867,1.0
2020/11/26/18:06:37.482804,1.0
2020/11/26/18:06:37.502785,1.0
2020/11/26/18:06:37.522650,1.0
2020/11/26/18:06:37.542562,1.0
2020/11/26/18:06:37.562670,1.0
2020/11/26/18:06:37.582745,1.0
2020/11/26/18:06:37.602668,1.0
2020/11/26/18:06:37.622559,1.0
2020/11/26/18:06:37.642517,1.0
2020/11/26/18:06:37.662477,1.0
2020/11/26/18:06:37.682624,1.0
2020/11/26/18:06:37.702696,1.0
2020/11/26/18:06:37.722544,1.0
2020/11/26/18:06:37.742672,1.0
2020/11/26/18:06:37.762616,1.0
2020/11/26/18:06:37.782583,1.0
2020/11/26/18:06:37.802673,1.0
2020/11/26/18:06:37.822630,1.0
2020/11/26/18:06:37.842664,1.0
2020/11/26/18:06:37.862601,1.0
2020/11/26/18:06:37.882531,1.0
2020/11/26/18:06:37.902948,1.0
2020/11/26/18:06:37.922678,1.0
2020/11/26/18:06:37.942675,1.0
2020/11/26/18:06:37.962674,1.0
2020/11/26/18:06:37.982606,1.0
2020/11/26/18:06:38.002782,1.0
2020/11/26/18:06:38.022638,1.0
2020/11/26/18:06:38.042839,1.0
2020/11/26/18:06:38.062542,1.0
2020/11/26/18:06:38.082715,1.0
2020/11/26/18:06:38.102582,1.0
2020/11/26/18:06:38.122598,1.0
2020/11/26/18:06:38.142817,1.0
2020/11/26/18:06:38.162665,1.0
2020/11/26/18:06:38.182665,1.0
2020/11/26/18:06:38.202715,1.0
2020/11/26/18:06:38.222621,1.0
2020/11/26/18:06:38.242543,1.0
2020/11/26/18:06:38.262690,1.0
2020/11/26/18:06:38.282800,1.0
2020/11/26/18:06:38.302706,1.0
2020/11/26/18:06:38.322655,1.0
2020/11/26/18:06:38.342657,1.0
2020/11/26/18:06:38.362650,1.0
2020/11/26/18:06:38.382537,0.989891489385
2020/11/26/18:06:38.402742,0.991146366765
2020/11/26/18:06:38.422753,0.966290227411
2020/11/26/18:06:38.442765,0.967503701191
2020/11/26/18:06:38.462568,0.871361730589
2020/11/26/18:06:38.482699,0.872504986265
2020/11/26/18:06:38.502565,0.69690007912
2020/11/26/18:06:38.522662,0.697937879927
2020/11/26/18:06:38.542684,0.698978525311
2020/11/26/18:06:38.562645,0.749305996585
2020/11/26/18:06:38.582670,0.750343636611
2020/11/26/18:06:38.602716,0.747486088204
2020/11/26/18:06:38.622771,0.748482765399
2020/11/26/18:06:38.642657,0.848430677736
2020/11/26/18:06:38.662519,0.849433751219
2020/11/26/18:06:38.682504,0.611009405135
2020/11/26/18:06:38.702657,0.611877868645
2020/11/26/18:06:38.722631,0.551786907943
2020/11/26/18:06:38.742936,0.552612059351
2020/11/26/18:06:38.762847,0.553435072578
2020/11/26/18:06:38.782653,0.411164367305
2020/11/26/18:06:38.802909,0.411897999986
2020/11/26/18:06:38.822773,0.542585863673
2020/11/26/18:06:38.842986,0.543349228508
2020/11/26/18:06:38.862525,0.600005949984
2020/11/26/18:06:38.882624,0.600747550376
2020/11/26/18:06:38.902813,0.703743470319
2020/11/26/18:06:38.922879,0.704498984435
2020/11/26/18:06:38.942686,0.705247218149
2020/11/26/18:06:38.962626,0.639567919627
2020/11/26/18:06:38.982767,0.640257705417
2020/11/26/18:06:39.002604,0.585060284807
2020/11/26/18:06:39.023022,0.585710020646
2020/11/26/18:06:39.043029,0.600010089293
