time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.controller_type,.setpoint_trajectory,.setpoint_frequency,.setpoint_mean,.setpoint_amplitude,.shutdown
2020/11/26/18:41:54.441517,1,1606412514,440923929,,0,0,0.0480000004172,-0.5,0.20000000298,False
2020/11/26/18:42:27.231271,2,1606412547,230112075,,0,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:42:29.160915,3,1606412549,160583972,,0,0,0.0960000008345,-0.5,0.20000000298,False
2020/11/26/18:44:32.212576,4,1606412672,212443113,,0,0,0.0960000008345,-0.5,0.20000000298,False
2020/11/26/18:44:32.975594,5,1606412672,975274085,,1,7,1.0,0.0,0.0,False
2020/11/26/18:44:42.985116,6,1606412682,984713077,,1,0,0.019999999553,-0.5,0.20000000298,False
2020/11/26/18:45:44.049059,7,1606412744,48753976,,1,7,1.0,0.0,0.0,False
2020/11/26/18:45:54.057204,8,1606412754,56737899,,1,0,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:46:55.121027,9,1606412815,120697021,,1,7,1.0,0.0,0.0,False
2020/11/26/18:47:05.129520,10,1606412825,128870010,,1,1,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:48:06.193504,11,1606412886,192780017,,1,7,1.0,0.0,0.0,False
2020/11/26/18:48:16.201289,12,1606412896,200707912,,1,2,0.0500000007451,-0.5,0.20000000298,False
2020/11/26/18:49:17.268092,13,1606412957,267446994,,1,1,0.10000000149,-0.5,0.0,True
