time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.position,.velocity
2020/11/26/18:50:42.202706,1,1606413042,202334880,,0.063873052597,0.00117237912491
2020/11/26/18:50:42.220883,2,1606413042,220763921,,0.063873052597,0.00117237912491
2020/11/26/18:50:42.240948,3,1606413042,240731954,,0.0608057379723,-0.00477998331189
2020/11/26/18:50:42.260869,4,1606413042,260659933,,0.0608057379723,-0.00477998331189
2020/11/26/18:50:42.280782,5,1606413042,280661106,,0.0628506541252,-0.00130342959892
2020/11/26/18:50:42.300690,6,1606413042,300509929,,0.0628506541252,-0.00130342959892
2020/11/26/18:50:42.321429,7,1606413042,321217060,,0.0659179091454,0.00727502675727
2020/11/26/18:50:42.340875,8,1606413042,340548038,,0.0659179091454,0.00727502675727
2020/11/26/18:50:42.360760,9,1606413042,360419988,,0.0700076818466,0.0186496973038
2020/11/26/18:50:42.380707,10,1606413042,380541086,,0.0700076818466,0.0186496973038
2020/11/26/18:50:42.400781,11,1606413042,400490999,,0.0669403672218,0.012359501794
2020/11/26/18:50:42.420677,12,1606413042,420526981,,0.0669403672218,0.012359501794
2020/11/26/18:50:42.440873,13,1606413042,440536975,,0.0669403672218,0.012359501794
2020/11/26/18:50:42.460691,14,1606413042,460553884,,0.0648955106735,0.0034587229602
2020/11/26/18:50:42.480851,15,1606413042,480508089,,0.0648955106735,0.0034587229602
2020/11/26/18:50:42.500726,16,1606413042,500508069,,0.0567160248756,-0.0192859210074
2020/11/26/18:50:42.520848,17,1606413042,520486116,,0.0567160248756,-0.0192859210074
2020/11/26/18:50:42.540810,18,1606413042,540602922,,0.0608057379723,-0.0146813485771
2020/11/26/18:50:42.560728,19,1606413042,560507059,,0.0608057379723,-0.0146813485771
2020/11/26/18:50:42.580863,20,1606413042,580534934,,0.0618281960487,-0.00832577701658
2020/11/26/18:50:42.600815,21,1606413042,600611925,,0.0618281960487,-0.00832577701658
2020/11/26/18:50:42.620768,22,1606413042,620507001,,0.058760881424,-0.011843489483
2020/11/26/18:50:42.640875,23,1606413042,640655040,,0.058760881424,-0.011843489483
2020/11/26/18:50:42.660715,24,1606413042,660456895,,0.058760881424,-0.011843489483
2020/11/26/18:50:42.680676,25,1606413042,680514097,,0.0597833395004,-0.00878291670233
2020/11/26/18:50:42.700787,26,1606413042,700654029,,0.0597833395004,-0.00878291670233
2020/11/26/18:50:42.720855,27,1606413042,720563888,,0.0577384829521,-0.0110277123749
2020/11/26/18:50:42.740869,28,1606413042,740528106,,0.0577384829521,-0.0110277123749
2020/11/26/18:50:42.760813,29,1606413042,760548114,,0.0567160248756,-0.012406389229
2020/11/26/18:50:42.780883,30,1606413042,780565977,,0.0567160248756,-0.012406389229
2020/11/26/18:50:42.800825,31,1606413042,800492048,,0.0546711683273,-0.0156378932297
2020/11/26/18:50:42.820928,32,1606413042,820537090,,0.0546711683273,-0.0156378932297
2020/11/26/18:50:42.840699,33,1606413042,840461969,,0.0597833395004,-0.00242308015004
2020/11/26/18:50:42.860709,34,1606413042,860491037,,0.0597833395004,-0.00242308015004
2020/11/26/18:50:42.880812,35,1606413042,880544900,,0.0597833395004,-0.00242308015004
2020/11/26/18:50:42.900730,36,1606413042,900509119,,0.0556935667992,-0.00681106140837
2020/11/26/18:50:42.920779,37,1606413042,920454978,,0.0556935667992,-0.00681106140837
2020/11/26/18:50:42.940787,38,1606413042,940536975,,0.0546711683273,-0.00964190717787
2020/11/26/18:50:42.960771,39,1606413042,960525035,,0.0546711683273,-0.00964190717787
2020/11/26/18:50:42.980695,40,1606413042,980490922,,0.0556935667992,-0.00669696042314
2020/11/26/18:50:43.000662,41,1606413043,417947,,0.0556935667992,-0.00669696042314
2020/11/26/18:50:43.020895,42,1606413043,20603895,,0.0608057379723,0.00729625113308
2020/11/26/18:50:43.040894,43,1606413043,40540933,,0.0608057379723,0.00729625113308
2020/11/26/18:50:43.060649,44,1606413043,60422897,,0.0546711683273,-0.00321134412661
2020/11/26/18:50:43.080948,45,1606413043,80538034,,0.0546711683273,-0.00321134412661
2020/11/26/18:50:43.100868,46,1606413043,100527048,,0.0546711683273,-0.00321134412661
2020/11/26/18:50:43.120813,47,1606413043,120578050,,0.0597833395004,0.00549036590382
2020/11/26/18:50:43.140888,48,1606413043,140594959,,0.0597833395004,0.00549036590382
2020/11/26/18:50:43.160807,49,1606413043,160470008,,0.0516038537025,-0.0112985614687
2020/11/26/18:50:43.180713,50,1606413043,180560111,,0.0516038537025,-0.0112985614687
2020/11/26/18:50:43.200821,51,1606413043,200459957,,0.0577384829521,-0.00114613049664
2020/11/26/18:50:43.220863,52,1606413043,220496892,,0.0577384829521,-0.00114613049664
2020/11/26/18:50:43.240698,53,1606413043,240485906,,0.0536487102509,-0.00690206186846
